nombre_completo,usuario_gestor_1,Servicio,coordinador,jefe_inmediato,estado,rango_antiguedad
ACEVEDO DELGADO JULIAN HUGO,,DT FFP AMC ING,DUARTE NAVARRO TAMARA HUGO,QUINTERO JIMENEZ ADRIANA NATALIA,Retiro,>360
ACEVEDO ESCOBAR CAROLINA MATEO,9004263,CHAT HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Retiro,>360
ACEVEDO FIGUEROA SOFIA PABLO,9001462,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
ACEVEDO GALLEGO JULIAN VALENTIN,9003158,LATAM TRAVEL AMC,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Retiro,>360
ACEVEDO GUERRERO CAROLINA CAROLINA,9008461,CHAT LUA AMC,DUARTE NAVARRO TAMARA HUGO,SALGADO DELGADO HUGO HUGO,Retiro,>30 y <=60
ACEVEDO HERRERA SOFIA FLORENCIA,9014148,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>360
ACEVEDO IBARRA JULIAN JULIETA,9006365,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,FIGUEROA OCAMPO DIEGO JULIAN,Activo,>180 y <=360
ACEVEDO JIMENEZ CAROLINA OLIVIA,9006797,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,LEIVA LEIVA MARIANA RENATA,Activo,>180 y <=360
ACEVEDO LEIVA SOFIA SOFIA,9006124,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>180 y <=360
ACEVEDO MALDONADO JULIAN ANDRES,9003608,DT FFP AMC ING,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>360
